No.,Estado,Sistema,Nombre_común,Género,Especie,Región, Localidad,Latitud,Longitud,Altitud,CodMunicip,Municipio
NA,Oaxaca,Agroforestal,Naranja,Citrus,sp,region costa ,san jose de las flores ,16.67175833,-98.24234167,617,20467,Santiago Jamiltepec
NA,Oaxaca,Monocultivo,Armadillo,Lasianthus,sp,region costa ,san jose de las flores ,16.67175833,-98.24234167,617,20467,Santiago Jamiltepec
NA,Oaxaca,Agroforestal,Mango,Mangifera,indica,region costa ,san jose de las flores ,16.67175833,-98.24234167,617,20467,Santiago Jamiltepec
NA,Oaxaca,Agroforestal,Pinos,Pinus,sp,region costa ,sanjose de las flores,16.67175833,-98.24234167,617,20467,Santiago Jamiltepec
NA,Oaxaca,Agroforestal,Naranja,Citrus,sinensis,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Agroforestal,Café,Coffea,arabica,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,,Chepil,Crotalaria,longirostrata,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Agroforestal,Sangre de grado,Croton,lechleri,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Agroforestal,Guajuinicuil,Inga,sp,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Agroforestal,Árbol del trueno,Ligustrum,vulgare,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Recolección y Cacería,Aguacate,Persea,sp,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Recolección y Cacería,Pinos,Pinus,greggii,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,,Papalo quelite,Porophyllum,ruderale,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Agroforestal,Zapote/Mamey,Pouteria,sapota,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Recolección y Cacería,Encino blanco,Quercus,sp,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Agroforestal,Sauco,Sambucus,nigra,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Milpa Sustentable,Maíz,Zea,mays,region mixteca,Guadalupe Buenavista,17.018087,-97.769855,1800,20446,Santa María Yucuhiti
NA,Oaxaca,Forestal,Aile,Alnus,acuminata,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
NA,Oaxaca,Forestal,Madroño,Arbutus,xalapensis,Sierra Sur,Santiago Textitlán,16.691694,-97.26,1900,20491,Santiago Textitlán
